ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
3,,202,28/01/1993,90,120,,1.5,,,,,,,,,,0.200000003,1.100000024,,,,,,,,,0.370499998,,
3,,202,28/01/1993,120,150,,1.600000024,,,,,,,,,,0.600000024,1.5,,,,,,,,,0.436800003,,
3,,202,3/3/1993,0,20,,1.299999952,,,,,,,,,,0.600000024,2.700000048,,,,,,,,,0.204099998,,
3,,202,3/3/1993,20,40,,1.5,,,,,,,,,,0.400000006,1.700000048,,,,,,,,,0.2685,,
3,,202,3/3/1993,40,60,,1.399999976,,,,,,,,,,0.200000003,1.399999976,,,,,,,,,0.287,,
3,,202,3/3/1993,60,90,,1.399999976,,,,,,,,,,0.300000012,0.800000012,,,,,,,,,0.3486,,
3,,202,4/6/1993,0,20,,1.299999952,,,,,,,,,,0.300000012,1.200000048,,,,,,,,,0.293799996,,
3,,202,4/6/1993,20,40,,1.5,,,,,,,,,,0.400000006,0.800000012,,,,,,,,,0.300000012,,
3,,202,4/6/1993,40,60,,1.399999976,,,,,,,,,,0.100000001,0.400000006,,,,,,,,,0.289799988,,
3,,202,4/6/1993,60,90,,1.399999976,,,,,,,,,,0,0.400000006,,,,,,,,,0.334600002,,
3,,202,4/6/1993,90,120,,1.5,,,,,,,,,,0,0.5,,,,,,,,,0.403499991,,
3,,202,11/11/1993,0,20,,1.25999999,,,,,,,,,,1,1.100000024,,,,,,,,,,,
3,,202,11/11/1993,20,40,,1.450000048,,,,,,,,,,0.400000006,0.100000001,,,,,,,,,,,
3,,202,11/11/1993,40,60,,1.419999957,,,,,,,,,,0.200000003,0.200000003,,,,,,,,,,,
3,,202,11/11/1993,60,90,,1.450000048,,,,,,,,,,0,0.300000012,,,,,,,,,,,
3,,202,11/11/1993,90,120,,1.590000033,,,,,,,,,,0,0.300000012,,,,,,,,,,,
3,,202,11/11/1993,120,150,,1.700000048,,,,,,,,,,0,0.300000012,,,,,,,,,,,
3,,203,31/08/1992,0,20,0.01,1,0.100000001,6.809999943,9.829999924,80,2.400000095,0.100000001,135,2,21,0.899999976,0.200000003,0.899999976,6,106,0.150000006,,,0.860000014,14,0.144999996,,3.700000048
3,,203,31/08/1992,20,40,,1.299999952,,,,,,,,,,1,0.200000003,,,,,,,,,0.204099998,,
3,,203,31/08/1992,40,60,,1.399999976,,,,,,,,,,0.600000024,0.300000012,,,,,,,,,0.243599996,,
3,,203,31/08/1992,60,90,,1.399999976,,,,,,,,,,0.699999988,0.400000006,,,,,,,,,0.266000003,,
3,,203,26/10/1992,0,20,,1.200000048,,,,,,,,,,66.40000153,34.09999847,,,,,,,,,0.213599995,,
3,,203,26/10/1992,20,40,,1.5,,,,,,,,,,6.099999905,14.89999962,,,,,,,,,0.271499991,,
3,,203,26/10/1992,40,60,,1.5,,,,,,,,,,0.400000006,1.299999952,,,,,,,,,0.287999988,,
3,,203,26/10/1992,60,90,,1.600000024,,,,,,,,,,0.200000003,0.600000024,,,,,,,,,0.347200006,,
3,,203,26/10/1992,90,120,,1.799999952,,,,,,,,,,0.100000001,0.5,,,,,,,,,0.415800005,,
3,,203,26/10/1992,120,150,,1.899999976,,,,,,,,,,0.200000003,0.300000012,,,,,,,,,0.433200002,,
3,,203,28/01/1993,0,20,,1,,,,,,,,,,5.099999905,31.5,,,,,,,,,0.210999995,,
3,,203,28/01/1993,20,40,,1.299999952,,,,,,,,,,1.299999952,6.599999905,,,,,,,,,0.271699995,,
3,,203,28/01/1993,40,60,,1.399999976,,,,,,,,,,1.200000048,2,,,,,,,,,0.298200011,,
3,,203,28/01/1993,60,90,,1.399999976,,,,,,,,,,1.299999952,1.700000048,,,,,,,,,0.331800014,,
3,,203,28/01/1993,90,120,,1.399999976,,,,,,,,,,1.600000024,1.5,,,,,,,,,0.342999995,,
3,,203,28/01/1993,120,150,,1.399999976,,,,,,,,,,1.600000024,1.899999976,,,,,,,,,0.358399987,,
3,,203,3/3/1993,0,20,,1,,,,,,,,,,0.600000024,3,,,,,,,,,0.195999995,,
3,,203,3/3/1993,20,40,,1.299999952,,,,,,,,,,0.600000024,0.899999976,,,,,,,,,0.252200007,,
3,,203,3/3/1993,40,60,,1.399999976,,,,,,,,,,0.5,0.800000012,,,,,,,,,0.289799988,,
3,,203,3/3/1993,60,90,,1.399999976,,,,,,,,,,0.5,0.699999988,,,,,,,,,0.345800012,,
3,,203,4/6/1993,0,20,,1,,,,,,,,,,1,3.599999905,,,,,,,,,0.247999996,,
3,,203,4/6/1993,20,40,,1.299999952,,,,,,,,,,0.5,0.899999976,,,,,,,,,0.308099985,,
3,,203,4/6/1993,40,60,,1.399999976,,,,,,,,,,0.100000001,0.400000006,,,,,,,,,0.344399989,,
3,,203,4/6/1993,60,90,,1.399999976,,,,,,,,,,0,0.300000012,,,,,,,,,0.365399987,,
3,,203,4/6/1993,90,120,,1.399999976,,,,,,,,,,0,0.200000003,,,,,,,,,0.387800008,,
3,,203,11/11/1993,0,20,,1.059999943,,,,,,,,,,0.5,0.400000006,,,,,,,,,,,
3,,203,11/11/1993,20,40,,1.360000014,,,,,,,,,,0.400000006,0,,,,,,,,,,,
3,,203,11/11/1993,40,60,,1.409999967,,,,,,,,,,0.100000001,0.300000012,,,,,,,,,,,
3,,203,11/11/1993,60,90,,1.450000048,,,,,,,,,,0,0.400000006,,,,,,,,,,,
3,,203,11/11/1993,90,120,,1.620000005,,,,,,,,,,0,0.400000006,,,,,,,,,,,
3,,203,11/11/1993,120,150,,1.649999976,,,,,,,,,,0,0.200000003,,,,,,,,,,,
3,,204,31/08/1992,0,20,0.01,1,0.059999999,6.880000114,9.260000229,35,2.5,0.059999999,156,1.460000038,38,0.600000024,0.100000001,0.899999976,6.300000191,200,0.119999997,,,0.790000021,7,0.135000005,,3.5
3,,204,31/08/1992,20,40,,1.299999952,,,,,,,,,,0.600000024,0.300000012,,,,,,,,,0.227500007,,
3,,204,31/08/1992,40,60,,1.399999976,,,,,,,,,,0.600000024,0.899999976,,,,,,,,,0.277200013,,
3,,204,31/08/1992,60,90,,1.299999952,,,,,,,,,,0.600000024,1.899999976,,,,,,,,,0.265199989,,
3,,204,26/10/1992,0,20,,1.299999952,,,,,,,,,,32.20000076,27.89999962,,,,,,,,,0.204099998,,
3,,204,26/10/1992,20,40,,1.399999976,,,,,,,,,,0.5,9.5,,,,,,,,,0.224000007,,
3,,204,26/10/1992,40,60,,1.399999976,,,,,,,,,,0.300000012,1,,,,,,,,,0.263200015,,
3,,204,26/10/1992,60,90,,1.399999976,,,,,,,,,,0.100000001,0.400000006,,,,,,,,,0.26879999,,
3,,204,26/10/1992,90,120,,1.700000048,,,,,,,,,,0.200000003,0.400000006,,,,,,,,,0.358700007,,
3,,204,26/10/1992,120,150,,1.799999952,,,,,,,,,,0.5,0.400000006,,,,,,,,,0.42840001,,
3,,204,28/01/1993,0,20,,1,,,,,,,,,,4.800000191,19.70000076,,,,,,,,,0.209999993,,
3,,204,28/01/1993,20,40,,1.299999952,,,,,,,,,,1.600000024,10.10000038,,,,,,,,,0.244399995,,
3,,204,28/01/1993,40,60,,1.399999976,,,,,,,,,,1.200000048,9.699999809,,,,,,,,,0.294,,
3,,204,28/01/1993,60,90,,1.299999952,,,,,,,,,,0.800000012,8.699999809,,,,,,,,,0.309399992,,
3,,204,28/01/1993,90,120,,1.399999976,,,,,,,,,,1.200000048,3.799999952,,,,,,,,,0.354200006,,
