ExpID,Treatment,Date,Amount,Method,Notes
13,2,14/03/1995,4,Drip or trickle,
13,2,16/03/1995,4,Drip or trickle,
13,2,20/03/1995,1,Drip or trickle,
13,2,21/03/1995,2,Drip or trickle,
13,2,22/03/1995,2,Drip or trickle,
13,2,23/03/1995,2,Drip or trickle,
13,2,26/03/1995,4,Drip or trickle,
13,2,28/03/1995,0,Drip or trickle,
13,2,29/03/1995,2,Drip or trickle,
13,2,30/03/1995,2,Drip or trickle,
13,2,4/4/1995,3,Drip or trickle,
13,2,5/4/1995,3,Drip or trickle,
13,2,9/4/1995,5,Drip or trickle,
13,2,11/4/1995,4,Drip or trickle,
13,2,12/4/1995,3,Drip or trickle,
13,2,13/04/1995,1,Drip or trickle,
13,2,16/04/1995,3,Drip or trickle,
13,2,17/04/1995,3,Drip or trickle,
13,2,18/04/1995,3,Drip or trickle,
13,2,19/04/1995,3,Drip or trickle,
13,2,20/04/1995,3,Drip or trickle,
13,2,21/04/1995,3,Drip or trickle,
13,2,22/04/1995,3,Drip or trickle,
13,2,23/04/1995,3,Drip or trickle,
13,2,24/04/1995,3,Drip or trickle,
13,2,25/04/1995,3,Drip or trickle,
13,2,26/04/1995,3,Drip or trickle,
13,2,27/04/1995,3,Drip or trickle,
13,2,28/04/1995,2,Drip or trickle,
13,2,29/04/1995,2,Drip or trickle,
13,2,30/04/1995,2,Drip or trickle,
13,2,1/5/1995,2,Drip or trickle,
13,2,2/5/1995,2,Drip or trickle,
13,2,3/5/1995,2,Drip or trickle,
13,2,5/5/1995,2,Drip or trickle,
13,2,6/5/1995,2,Drip or trickle,
13,2,7/5/1995,2,Drip or trickle,
13,2,11/5/1995,3,Drip or trickle,
13,2,13/06/1995,3,Drip or trickle,
13,2,29/06/1995,5,Drip or trickle,
13,2,16/07/1995,5,Drip or trickle,
13,2,20/07/1995,3,Drip or trickle,
13,2,29/07/1995,3,Drip or trickle,
13,3,20/12/1994,8,Drip or trickle,
13,3,21/12/1994,9,Drip or trickle,
13,3,22/12/1994,10,Drip or trickle,
13,3,4/1/1995,1,Drip or trickle,
13,3,7/1/1995,1,Drip or trickle,
13,3,8/1/1995,12,Drip or trickle,
13,3,9/1/1995,12,Drip or trickle,
13,3,10/1/1995,1,Drip or trickle,
13,3,11/1/1995,8,Drip or trickle,
13,3,16/01/1995,10,Drip or trickle,
13,3,17/01/1995,10,Drip or trickle,
13,3,22/01/1995,8,Drip or trickle,
13,3,25/01/1995,8,Drip or trickle,
13,3,31/01/1995,11,Drip or trickle,
13,3,2/2/1995,9,Drip or trickle,
13,3,4/2/1995,9,Drip or trickle,
13,3,7/2/1995,10,Drip or trickle,
13,3,9/2/1995,6,Drip or trickle,
13,3,22/02/1995,3,Drip or trickle,
13,3,27/02/1995,10,Drip or trickle,
13,3,5/3/1995,11,Drip or trickle,
13,3,12/3/1995,5,Drip or trickle,
13,3,13/03/1995,2,Drip or trickle,
13,3,14/03/1995,4,Drip or trickle,
13,3,16/03/1995,4,Drip or trickle,
13,3,20/03/1995,1,Drip or trickle,
13,3,21/03/1995,2,Drip or trickle,
13,3,22/03/1995,2,Drip or trickle,
13,3,23/03/1995,2,Drip or trickle,
13,3,26/03/1995,4,Drip or trickle,
13,3,28/03/1995,0,Drip or trickle,
13,3,29/03/1995,2,Drip or trickle,
13,3,30/03/1995,2,Drip or trickle,
13,3,4/4/1995,3,Drip or trickle,
13,3,5/4/1995,3,Drip or trickle,
13,3,9/4/1995,5,Drip or trickle,
13,3,11/4/1995,4,Drip or trickle,
13,3,12/4/1995,3,Drip or trickle,
13,3,13/04/1995,1,Drip or trickle,
13,3,16/04/1995,3,Drip or trickle,
13,3,17/04/1995,3,Drip or trickle,
13,3,18/04/1995,3,Drip or trickle,
13,3,19/04/1995,3,Drip or trickle,
13,3,20/04/1995,3,Drip or trickle,
13,3,21/04/1995,3,Drip or trickle,
13,3,22/04/1995,3,Drip or trickle,
13,3,23/04/1995,3,Drip or trickle,
13,3,24/04/1995,3,Drip or trickle,
13,3,25/04/1995,3,Drip or trickle,
13,3,26/04/1995,3,Drip or trickle,
13,3,27/04/1995,3,Drip or trickle,
13,3,28/04/1995,2,Drip or trickle,
13,3,29/04/1995,2,Drip or trickle,
13,3,30/04/1995,2,Drip or trickle,
13,3,1/5/1995,2,Drip or trickle,
13,3,2/5/1995,2,Drip or trickle,
13,3,3/5/1995,2,Drip or trickle,
13,3,5/5/1995,2,Drip or trickle,
13,3,6/5/1995,2,Drip or trickle,
13,3,7/5/1995,2,Drip or trickle,
13,3,11/5/1995,3,Drip or trickle,
13,3,13/06/1995,3,Drip or trickle,
13,3,29/06/1995,5,Drip or trickle,
13,3,16/07/1995,5,Drip or trickle,
13,3,20/07/1995,3,Drip or trickle,
13,3,29/07/1995,3,Drip or trickle,
13,4,20/12/1994,8,Drip or trickle,
13,4,21/12/1994,9,Drip or trickle,
13,4,22/12/1994,10,Drip or trickle,
13,4,4/1/1995,1,Drip or trickle,
13,4,7/1/1995,1,Drip or trickle,
13,4,8/1/1995,12,Drip or trickle,
13,4,9/1/1995,12,Drip or trickle,
13,4,10/1/1995,1,Drip or trickle,
13,4,11/1/1995,8,Drip or trickle,
13,4,16/01/1995,10,Drip or trickle,
13,4,17/01/1995,10,Drip or trickle,
13,4,22/01/1995,8,Drip or trickle,
13,4,25/01/1995,8,Drip or trickle,
13,4,31/01/1995,11,Drip or trickle,
13,4,2/2/1995,9,Drip or trickle,
13,4,4/2/1995,9,Drip or trickle,
13,4,7/2/1995,10,Drip or trickle,
13,4,9/2/1995,6,Drip or trickle,
13,4,22/02/1995,3,Drip or trickle,
13,4,27/02/1995,10,Drip or trickle,
13,4,5/3/1995,11,Drip or trickle,
13,4,12/3/1995,5,Drip or trickle,
13,4,13/03/1995,2,Drip or trickle,
13,4,14/03/1995,4,Drip or trickle,
13,4,16/03/1995,4,Drip or trickle,
13,4,20/03/1995,1,Drip or trickle,
13,4,21/03/1995,2,Drip or trickle,
13,4,22/03/1995,2,Drip or trickle,
13,4,23/03/1995,2,Drip or trickle,
13,4,26/03/1995,4,Drip or trickle,
13,4,28/03/1995,0,Drip or trickle,
13,4,29/03/1995,2,Drip or trickle,
13,4,30/03/1995,2,Drip or trickle,
13,4,4/4/1995,3,Drip or trickle,
13,4,5/4/1995,3,Drip or trickle,
13,4,9/4/1995,5,Drip or trickle,
13,4,11/4/1995,4,Drip or trickle,
13,4,12/4/1995,3,Drip or trickle,
13,4,13/04/1995,1,Drip or trickle,
13,4,16/04/1995,3,Drip or trickle,
13,4,17/04/1995,3,Drip or trickle,
13,4,18/04/1995,3,Drip or trickle,
13,4,19/04/1995,3,Drip or trickle,
13,4,20/04/1995,3,Drip or trickle,
13,4,21/04/1995,3,Drip or trickle,
13,4,22/04/1995,3,Drip or trickle,
13,4,23/04/1995,3,Drip or trickle,
13,4,24/04/1995,3,Drip or trickle,
13,4,25/04/1995,3,Drip or trickle,
13,4,26/04/1995,3,Drip or trickle,
13,4,27/04/1995,3,Drip or trickle,
13,4,28/04/1995,2,Drip or trickle,
13,4,29/04/1995,2,Drip or trickle,
13,4,30/04/1995,2,Drip or trickle,
13,4,1/5/1995,2,Drip or trickle,
13,4,2/5/1995,2,Drip or trickle,
13,4,3/5/1995,2,Drip or trickle,
13,4,5/5/1995,2,Drip or trickle,
13,4,6/5/1995,2,Drip or trickle,
13,4,7/5/1995,2,Drip or trickle,
13,4,11/5/1995,3,Drip or trickle,
13,4,13/06/1995,3,Drip or trickle,
13,4,29/06/1995,5,Drip or trickle,
13,4,16/07/1995,5,Drip or trickle,
13,4,20/07/1995,3,Drip or trickle,
13,4,29/07/1995,3,Drip or trickle,
13,6,20/12/1994,8,Drip or trickle,
13,6,21/12/1994,9,Drip or trickle,
13,6,22/12/1994,10,Drip or trickle,
13,6,4/1/1995,1,Drip or trickle,
13,6,7/1/1995,1,Drip or trickle,
13,6,8/1/1995,12,Drip or trickle,
13,6,9/1/1995,12,Drip or trickle,
13,6,10/1/1995,1,Drip or trickle,
13,6,11/1/1995,8,Drip or trickle,
13,6,16/01/1995,10,Drip or trickle,
13,6,17/01/1995,10,Drip or trickle,
13,6,22/01/1995,8,Drip or trickle,
13,6,25/01/1995,8,Drip or trickle,
13,6,31/01/1995,11,Drip or trickle,
13,6,2/2/1995,9,Drip or trickle,
13,6,4/2/1995,9,Drip or trickle,
13,6,7/2/1995,10,Drip or trickle,
13,6,9/2/1995,6,Drip or trickle,
13,6,22/02/1995,3,Drip or trickle,
13,6,27/02/1995,10,Drip or trickle,
13,6,5/3/1995,11,Drip or trickle,
13,6,12/3/1995,5,Drip or trickle,
13,6,13/03/1995,2,Drip or trickle,
13,6,14/03/1995,4,Drip or trickle,
13,6,16/03/1995,4,Drip or trickle,
13,6,20/03/1995,1,Drip or trickle,
13,6,21/03/1995,2,Drip or trickle,
13,6,22/03/1995,2,Drip or trickle,
13,6,23/03/1995,2,Drip or trickle,
13,6,26/03/1995,4,Drip or trickle,
13,6,28/03/1995,0,Drip or trickle,
13,6,29/03/1995,2,Drip or trickle,
13,6,30/03/1995,2,Drip or trickle,
13,6,4/4/1995,3,Drip or trickle,
13,6,5/4/1995,3,Drip or trickle,
13,6,9/4/1995,5,Drip or trickle,
13,6,11/4/1995,4,Drip or trickle,
13,6,12/4/1995,3,Drip or trickle,
13,6,13/04/1995,1,Drip or trickle,
13,6,16/04/1995,3,Drip or trickle,
13,6,17/04/1995,3,Drip or trickle,
13,6,18/04/1995,3,Drip or trickle,
13,6,19/04/1995,3,Drip or trickle,
13,6,20/04/1995,3,Drip or trickle,
13,6,21/04/1995,3,Drip or trickle,
13,6,22/04/1995,3,Drip or trickle,
13,6,23/04/1995,3,Drip or trickle,
13,6,24/04/1995,3,Drip or trickle,
13,6,25/04/1995,3,Drip or trickle,
13,6,26/04/1995,3,Drip or trickle,
13,6,27/04/1995,3,Drip or trickle,
13,6,28/04/1995,2,Drip or trickle,
